ou
"OU=Computers,OU=601,OU=Manhattan,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=602,OU=Bronx,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=603,OU=New Jersey,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=604,OU=Manhattan,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=605,OU=Bronx,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=606,OU=Brooklyn,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=607,OU=Long Island,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=608,OU=Bronx,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=609,OU=Queens,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=610,OU=Manhattan,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=611,OU=Manhattan,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=612,OU=Long Island,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=613,OU=Brooklyn,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=614,OU=Long Island,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=616,OU=Long Island,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=618,OU=Bronx,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=619,OU=Manhattan,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=620,OU=Brooklyn,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=621,OU=Bronx,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=622,OU=Manhattan,OU=New York,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
"OU=Computers,OU=623,OU=New Jersey,OU=Clubs,OU=Locations,OU=[Company],DC=ad,DC=corp.example,DC=com"
